Group,CMTS_Name,CMTS_DS_Port,FDAM_Location,TX_No,TX_Location,Coupler_Location,Coupler_Split(%),TX_Patch_Panel,Tx_Distance,Tx_Optical_Light,Node_Id,Node_Id_Before,Node_Name,RX_Optical_Light,RX_Distance,RX_Patch_Panel,RX_No,RX_Location,CMTS_US_Port,CMTS_US_Freq,RX_Losses,Remarks
G107,SLM-CMTS-21,Cable7/0/2,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/4,-,-,
G107,SLM-CMTS-21,Cable7/0/2,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/5,-,-,
G108,SLM-CMTS-21,Cable7/0/3,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/6,-,-,
G108,SLM-CMTS-21,Cable7/0/3,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/7,-,-,
G109,SLM-CMTS-21,Cable7/0/4,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/8,-,-,
G109,SLM-CMTS-21,Cable7/0/4,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/9,-,-,
G110,SLM-CMTS-21,Cable7/0/5,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/10,-,-,
G110,SLM-CMTS-21,Cable7/0/5,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/11,-,-,
G111,SLM-CMTS-21,Cable7/0/6,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/12,-,-,
G111,SLM-CMTS-21,Cable7/0/6,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/13,-,-,
G112,SLM-CMTS-21,Cable7/0/7,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/14,-,-,
G112,SLM-CMTS-21,Cable7/0/7,-,-,-,-,-,0-0-0,0,-,IDLE,-,-,-,0,0-0-0,-,-,Cable7/0/15,-,-,
G113,SLM-CMTS-21,Cable8/0/0,AC1-1,WDM-17,AD-1-1,A-1-WDM-3,-,-,-,-,DSL04200,DKG068,SUNTER B,-,-,-,9,AD1-WDM-9A,Cable8/0/0,-,-,
G113,SLM-CMTS-21,Cable8/0/0,AC1-1,WDM-18,AD-1-2,A-1-WDM-3,-,-,-,-,DSL19900,SPLIT DSL042,SUNTER B (AB),-,-,-,9,AD1-WDM-9B,Cable8/0/1,-,38,
G114,SLM-CMTS-21,Cable8/0/1,AC1-1,WDM-19,AD-1-3,A-1-WDM-3,-,-,-,-,DSL04700,DKG073,SUNTER B (G),-,-,-,10,AD1-WDM-10A,Cable8/0/2,-,38,
G114,SLM-CMTS-21,Cable8/0/1,N1-1,86,N-1-3,2/2/1986,50,1/6/1941,10655,-,DSL17800,SPLIT DSL047,SUNTER B (G) (1),-,10655,1/6/1941,-,-,Cable8/0/3,-,38,
G115,SLM-CMTS-21,Cable8/0/2,AC1-1,WDM-21,AD-1-5,A-1-WDM-3,-,-,-,-,DSL04800,DKG074,SUNTER B (H),-,-,-,11,AD1-WDM-11A,Cable8/0/4,-,-,
G115,SLM-CMTS-21,Cable8/0/2,AC1-1,WDM-22,AD-1-6,A-1-WDM-3,-,-,-,-,DSL20100,SPLIT DSL048,SUNTER H (AD),-,-,-,11,AD1-WDM-11B,Cable8/0/5,-,38,
G116,SLM-CMTS-21,Cable8/0/3,AC1-1,WDM-23,AD-1-7,A-1-WDM-3,-,-,-,-,DSL20200,SPLIT DSL053,SUNTER M (AE),-,-,-,12,AD1-WDM-12A,Cable8/0/6,-,38,
G116,SLM-CMTS-21,Cable8/0/3,-,-,-,-,-,-,-,-,DSL20300,-,SUNTER Q (AF),-,-,-,-,-,Cable8/0/7,-,38,
G117,SLM-CMTS-21,Cable8/0/4,AC1-2,WDM-25,AD-2-1,A-2-WDM-5,-,-,-,-,DSL05000,DKG076,SUNTER C (J),-,-,-,9,AD2-WDM-13A,Cable8/0/8,-,-,
G117,SLM-CMTS-21,Cable8/0/4,AC1-2,WDM-26,AD-2-2,A-2-WDM-5,-,-,-,-,DSL19600,SPLIT DSL050,SUNTER J (Y),-,-,-,9,AD2-WDM-13B,Cable8/0/9,-,38,
G118,SLM-CMTS-21,Cable8/0/5,AC1-2,WDM-27,AD-2-3,A-2-WDM-5,-,-,-,-,DSL05800,DKG311,SUNTER R,-,-,-,10,AD2-WDM-14A,Cable8/0/10,-,38,
G118,SLM-CMTS-21,Cable8/0/5,AC1-2,WDM-28,AD-2-4,A-2-WDM-5,-,-,-,-,DSL19500,SPLIT DSL058,SUNTER R (X),-,-,-,10,AD2-WDM-14B,Cable8/0/11,-,38,
G119,SLM-CMTS-21,Cable8/0/6,AC1-2,WDM-29,AD-2-5,A-2-WDM-5,-,-,-,-,DSL04900,DKG075,SUNTER C (I),-,-,-,11,AD2-WDM-15A,Cable8/0/12,-,38,
G119,SLM-CMTS-21,Cable8/0/6,AC1-2,WDM-30,AD-2-6,A-2-WDM-5,-,-,-,-,DSL20400,SPLIT DSL049,SUNTER C (I),-,-,-,11,AD2-WDM-15B,Cable8/0/13,-,38,
G120,SLM-CMTS-21,Cable8/0/7,AC1-2,WDM-31,AD-2-7,A-2-WDM-5,-,-,-,-,DSL07700,DKG281,METRO SUNTER APT (TOWER 2),-,-,-,12,AD2-WDM-16A,Cable8/0/14,-,38,
G120,SLM-CMTS-21,Cable8/0/7,AC1-2,WDM-32,AD-2-8,A-2-WDM-5,-,-,-,-,DSL07800,DKG282,METRO SUNTER APT (TOWER 1),-,-,-,12,AD2-WDM-16B,Cable8/0/15,-,38,
G121,SLM-CMTS-21,Cable9/0/0,N1-10,WDM-1,N-3-1,N-1-WDM-1,-,-,-,-,DSL11900,DCG143,MENTENG A (G),-,-,-,9,A3-WDM-1A,Cable9/0/0,-,38,
G121,SLM-CMTS-21,Cable9/0/0,N1-10,WDM-3,N-3-3,N-1-WDM-1,-,-,-,-,DSL12100,DCG246,MENTENG B,-,-,-,9,A3-WDM-1B,Cable9/0/1,-,38,
G122,SLM-CMTS-21,Cable9/0/1,N1-10,WDM-2,N-3-2,N-1-WDM-1,-,-,-,-,DSL09200,SPLIT DCG143,MENTENG G (Z),-,-,-,10,A3-WDM-2B,Cable9/0/2,-,38,
G122,SLM-CMTS-21,Cable9/0/1,N1-10,WDM-4,N-3-4,N-1-WDM-1,-,-,-,-,DSL18800,SPLIT DSL092,MENTENG Z (AC),-,-,-,10,A3-WDM-2A,Cable9/0/3,-,38,
G123,SLM-CMTS-21,Cable9/0/2,N1-10,WDM-5,N-3-5,N-1-WDM-1,-,-,-,-,DSL11800,DCG142,MENTENG A,-,-,-,11,A3-WDM-3A,Cable9/0/4,-,38,
G123,SLM-CMTS-21,Cable9/0/2,N1-10,WDM-6,N-3-6,N-1-WDM-1,-,-,-,-,DSL18700,SPLIT DSL118,MENTENG A (AB),-,-,-,11,A3-WDM-3B,Cable9/0/5,-,38,
G124,SLM-CMTS-21,Cable9/0/3,N1-10,WDM-7,N-3-7,N-1-WDM-1,-,1/7/2022,0,-,DSL13400,DCG309,MENTENG R,-,0,1/7/2022,12,A3-WDM-4A,Cable9/0/6,-,38,
G124,SLM-CMTS-21,Cable9/0/3,N1-10,WDM-8,N-3-8,N-1-WDM-1,-,-,-,-,DSL09700,NRO,1 @ CIK DITIRO MENTENG APT,-,-,-,12,A3-WDM-4B,Cable9/0/7,-,38,
G125,SLM-CMTS-21,Cable9/0/4,A1-9,WDM-9,A-3-1,A-1-WDM-2,-,-,-,-,DSL11300,DCG144,MENTENG A (I),-,-,-,10,N3-WDM-6A,Cable9/0/8,-,38,
G125,SLM-CMTS-21,Cable9/0/4,A1-9,WDM-10,A-3-2,A-1-WDM-2,-,-,-,-,DSL19000,SPLIT DCG113,MANTENG I (AE),-,-,-,10,N3-WDM-6B,Cable9/0/9,-,38,
G126,SLM-CMTS-21,Cable9/0/5,A1-9,WDM-11,A-3-3,A-1-WDM-2,-,-,-,-,DSL12000,DCG145,MENTENG A (J),-,-,-,11,N3-WDM-7A,Cable9/0/10,-,38,
G126,SLM-CMTS-21,Cable9/0/5,A1-9,WDM-12,A-3-4,A-1-WDM-2,-,-,-,-,DSL18900,SPLIT DSL120,MENTENG J (AD),-,-,-,11,N3-WDM-7B,Cable9/0/11,-,38,
G127,SLM-CMTS-21,Cable9/0/6,A1-9,WDM-13,A-3-5,A-1-WDM-2,-,1/3/1951,7105,-,DSL13500,DCG146,MENTENG EKSEKUTIF APT,-,7105,1/3/1951,9,N3-WDM-5A,Cable9/0/12,-,38,
G127,SLM-CMTS-21,Cable9/0/6,A1-9,WDM-14,A-3-6,A-1-WDM-2,-,-,-,-,DSL19100,SPLIT DCG135,MENTENG EKSEKUTIF APT (1),-,-,-,9,N3-WDM-5B,Cable9/0/13,-,38,
G128,SLM-CMTS-21,Cable9/0/7,A1-9,WDM-15,A-3-7,A-1-WDM-2,-,-,-,-,DSL19200,SPLIT DSL135,MENTENG EKSEKUTIF APT (2),-,-,-,12,N3-WDM-8B,Cable9/0/14,-,38,
G128,SLM-CMTS-21,Cable9/0/7,A1-9,WDM-16,A-3-8,A-1-WDM-2,-,-,-,-,DSL19300,SPLIT DSL135,MENTENG EKSEKUTIF APT (3),-,-,-,12,N3-WDM-8A,Cable9/0/15,-,38,
